luca maria gambardella,SCCwW3YAAAAJ,Ant colony optimization,10617674862446672168
luca maria gambardella,SCCwW3YAAAAJ,Ant colony system: a cooperative learning approach to the traveling salesman problem,5326576785654707471
luca maria gambardella,SCCwW3YAAAAJ,Ant algorithms for discrete optimization,3095672968044935365
luca maria gambardella,SCCwW3YAAAAJ,Ant colonies for the travelling salesman problem,6727234407970644754
luca maria gambardella,SCCwW3YAAAAJ,Macs-vrptw: A multiple colony system for vehicle routing problems with time windows,16314998587707188354
luca maria gambardella,SCCwW3YAAAAJ,Deep neural networks segment neuronal membranes in electron microscopy images,750234041877790810
luca maria gambardella,SCCwW3YAAAAJ,"Flexible, high performance convolutional neural networks for image classification",7169215844723136853
luca maria gambardella,SCCwW3YAAAAJ,Mitosis detection in breast cancer histology images with deep neural networks,4486026543476056412
luca maria gambardella,SCCwW3YAAAAJ,"Deep, big, simple neural nets for handwritten digit recognition",14001292323110707510
luca maria gambardella,SCCwW3YAAAAJ,Ant colonies for the quadratic assignment problem,8758768366069936540
luca maria gambardella,SCCwW3YAAAAJ,Ant-Q: A reinforcement learning approach to the traveling salesman problem,14795139024388387436
luca maria gambardella,SCCwW3YAAAAJ,AntHocNet: an adaptive nature‐inspired algorithm for routing in mobile ad hoc networks,7760682139340297276
luca maria gambardella,SCCwW3YAAAAJ,Solving symmetric and asymmetric TSPs by ant colonies,17818375060521295036
luca maria gambardella,SCCwW3YAAAAJ,A survey on metaheuristics for stochastic combinatorial optimization,17705282721364475027
luca maria gambardella,SCCwW3YAAAAJ,Effective neighborhood functions for the flexible job shop problem,7415110263666749837
luca maria gambardella,SCCwW3YAAAAJ,Convolutional neural network committees for handwritten character classification,11776673151996195260
luca maria gambardella,SCCwW3YAAAAJ,An ant colony system hybridized with a new local search for the sequential ordering problem,12941608221076157691
luca maria gambardella,SCCwW3YAAAAJ,Time dependent vehicle routing problem with a multi ant colony system,11826362734842630471
luca maria gambardella,SCCwW3YAAAAJ,"ARGoS: a modular, parallel, multi-engine simulator for multi-robot systems",1515437227882063368
luca maria gambardella,SCCwW3YAAAAJ,SWARM-BOT: A new distributed robotic concept,11861537442119458577
luca maria gambardella,SCCwW3YAAAAJ,Ant colony system for a dynamic vehicle routing problem,18079869976786903803
luca maria gambardella,SCCwW3YAAAAJ,A machine learning approach to visual perception of forest trails for mobile robots,11089448494001932539
luca maria gambardella,SCCwW3YAAAAJ,Evolving self-organizing behaviors for a swarm-bot,18088009631782208878
luca maria gambardella,SCCwW3YAAAAJ,Design patterns from biology for distributed computing,6988141751584327927
luca maria gambardella,SCCwW3YAAAAJ,Adaptive memory programming: A unified view of metaheuristics,2722358040142514355
luca maria gambardella,SCCwW3YAAAAJ,Ant colony optimization,11412205109392378293
luca maria gambardella,SCCwW3YAAAAJ,Swarmanoid: a novel concept for the study of heterogeneous robotic swarms,5464067577012517455
luca maria gambardella,SCCwW3YAAAAJ,Max-pooling convolutional neural networks for vision-based hand gesture recognition,344799027105415661
luca maria gambardella,SCCwW3YAAAAJ,AntHocNet: an ant-based hybrid routing algorithm for mobile ad hoc networks,9471570848651582505
luca maria gambardella,SCCwW3YAAAAJ,A study of some properties of Ant-Q,16438448888710075811
luca maria gambardella,SCCwW3YAAAAJ,Simulation and planning of an intermodal container terminal,12218617553874176336
luca maria gambardella,SCCwW3YAAAAJ,HAS-SOP: Hybrid ant system for the sequential ordering problem,7688578120961859259
luca maria gambardella,SCCwW3YAAAAJ,Assessment of algorithms for mitosis detection in breast cancer histopathology images,3287706387125995408
luca maria gambardella,SCCwW3YAAAAJ,A comparison of the performance of different metaheuristics on the timetabling problem,14493771797070828373
luca maria gambardella,SCCwW3YAAAAJ,Collaboration through the exploitation of local interactions in autonomous collective robotics: The stick pulling experiment,11669707297890931471
luca maria gambardella,SCCwW3YAAAAJ,An exact algorithm for the robust shortest path problem with interval data,4465171310887987939
luca maria gambardella,SCCwW3YAAAAJ,Fast image scanning with deep max-pooling convolutional neural networks,11106965245059143583
luca maria gambardella,SCCwW3YAAAAJ,The cooperation of swarm-bots: Physical interactions in collective robotics,11063230560475403719
luca maria gambardella,SCCwW3YAAAAJ,High-performance neural networks for visual object classification,4655327696587020833
luca maria gambardella,SCCwW3YAAAAJ,Swarm intelligence.,16234222783942156533
luca maria gambardella,SCCwW3YAAAAJ,Ant colony optimization for real-world vehicle routing problems,16774597141086338650
luca maria gambardella,SCCwW3YAAAAJ,"Ant Colony Optimization and Swarm Intelligence: 4th International Workshop, ANTS 2004. Proceedings",12729150641837123081
luca maria gambardella,SCCwW3YAAAAJ,An ant colony optimization approach to the probabilistic traveling salesman problem,14931674244106531526
luca maria gambardella,SCCwW3YAAAAJ,Guest editorial: special section on ant colony optimization,4913755835925165436
luca maria gambardella,SCCwW3YAAAAJ,Special issue on swarm robotics.,1671557358863318953
luca maria gambardella,SCCwW3YAAAAJ,Crowdsourcing the creation of image segmentation algorithms for connectomics,4792660200369442560
luca maria gambardella,SCCwW3YAAAAJ,An optimization methodology for intermodal terminal management,9307425551494318697
luca maria gambardella,SCCwW3YAAAAJ,A simulation tool for combined rail/road transport in intermodal terminals,8074230525933872562
luca maria gambardella,SCCwW3YAAAAJ,Results of the first international contest on evolutionary optimisation (1st ICEO),722131308416380155
luca maria gambardella,SCCwW3YAAAAJ,Swarm intelligence for routing in mobile ad hoc networks,11007633379330852843
luca maria gambardella,SCCwW3YAAAAJ,A branch and bound algorithm for the robust shortest path problem with interval data,16184831794768395067
luca maria gambardella,SCCwW3YAAAAJ,Adaptive memories for the quadratic assignment problem,9088927227104356994
luca maria gambardella,SCCwW3YAAAAJ,Ant colonies for the QAP,4768897399778257714
luca maria gambardella,SCCwW3YAAAAJ,A new algorithm for a dynamic vehicle routing problem based on ant colony system,510840939790471398
luca maria gambardella,SCCwW3YAAAAJ,The swarm-bots project,9576875938813251302
luca maria gambardella,SCCwW3YAAAAJ,Using ant agents to combine reactive and proactive strategies for routing in mobile ad-hoc networks,3392943224391133515
luca maria gambardella,SCCwW3YAAAAJ,An ant colony system for team orienteering problems with time windows,5180795292361516438
luca maria gambardella,SCCwW3YAAAAJ,Ants algorithms for discrete optimization,6206219413026214661
luca maria gambardella,SCCwW3YAAAAJ,Principles and applications of swarm intelligence for adaptive routing in telecommunications networks,11821108284007950806
luca maria gambardella,SCCwW3YAAAAJ,Ant agents for hybrid multipath routing in mobile ad hoc networks,9409334601960332151
luca maria gambardella,SCCwW3YAAAAJ,SWARM-BOT: Pattern formation in a swarm of self-assembling mobile robots,8227852541948202440
luca maria gambardella,SCCwW3YAAAAJ,Self-organized cooperation between robotic swarms,623900578361522550
luca maria gambardella,SCCwW3YAAAAJ,Ant colony system: A cooperative learning approach to the traveling salesman problem,6365234578624966121
luca maria gambardella,SCCwW3YAAAAJ,The robust traveling salesman problem with interval data,500925971367325391
luca maria gambardella,SCCwW3YAAAAJ,A branch and bound algorithm for the robust spanning tree problem with interval data,3299521398732288472
luca maria gambardella,SCCwW3YAAAAJ,A probabilistic model for understanding and comparing collective aggregation mechanisms,2963652634202820665
luca maria gambardella,SCCwW3YAAAAJ,Anonymization,9822607544529876411
luca maria gambardella,SCCwW3YAAAAJ,Exact algorithms for the minimum power symmetric connectivity problem in wireless networks,5520501457988192092
luca maria gambardella,SCCwW3YAAAAJ,Cooperative self-organization in a heterogeneous swarm robotic system,8376687758817431611
luca maria gambardella,SCCwW3YAAAAJ,Communication assisted navigation in robotic swarms: self-organization and cooperation,3501579923307624804
luca maria gambardella,SCCwW3YAAAAJ,Agent-based planning and simulation of combined rail/road transport,7564562520542937919
luca maria gambardella,SCCwW3YAAAAJ,The robust shortest path problem with interval data via Benders decomposition,8536282927912375058
luca maria gambardella,SCCwW3YAAAAJ,The minimum power broadcast problem in wireless networks: a simulated annealing approach,1773224009705481132
